"id1" "id2" "simpson"
9 21 0.882352941176471
10 21 0.117647058823529
11 21 0.3125
20 21 0.214285714285714
8 22 0.666666666666667
9 22 0.533333333333333
10 22 0.266666666666667
11 22 0.8
12 22 0.133333333333333
19 22 0.0666666666666667
20 22 0.642857142857143
21 22 0.533333333333333
1 23 0.4375
2 23 0.125
3 23 0.125
4 23 0.5
5 23 0.5
7 23 0.266666666666667
10 23 0.625
11 23 0.25
12 23 0.8125
13 23 0.1875
14 23 0.0666666666666667
15 23 0.538461538461538
16 23 0.25
17 23 0.571428571428571
18 23 0.733333333333333
19 23 0.933333333333333
20 23 0.428571428571429
22 23 0.0666666666666667
1 24 0.133333333333333
2 24 0.8
3 24 0.666666666666667
4 24 0.0666666666666667
5 24 0.133333333333333
6 24 0.769230769230769
7 24 0.2
13 24 0.533333333333333
14 24 0.933333333333333
16 24 0.266666666666667
1 25 0.6875
2 25 0.647058823529412
3 25 0.823529411764706
4 25 0.625
5 25 0.6875
6 25 0.230769230769231
7 25 0.8
10 25 0.0588235294117647
12 25 0.0625
13 25 0.9375
14 25 0.533333333333333
15 25 0.692307692307692
16 25 0.8125
17 25 0.571428571428571
18 25 0.2
19 25 0.133333333333333
23 25 0.1875
24 25 0.533333333333333
1 26 0.5625
2 26 0.1875
3 26 0.25
4 26 0.625
5 26 0.625
7 26 0.4
10 26 0.4375
11 26 0.1875
12 26 0.6875
13 26 0.3125
14 26 0.0666666666666667
15 26 0.692307692307692
16 26 0.375
17 26 0.785714285714286
18 26 0.866666666666667
19 26 0.8
20 26 0.214285714285714
22 26 0.0666666666666667
23 26 0.8125
25 26 0.3125
1 27 0.875
2 27 0.375
3 27 0.5625
4 27 0.75
5 27 0.8125
6 27 0.230769230769231
7 27 0.866666666666667
10 27 0.1875
12 27 0.1875
13 27 0.6875
14 27 0.266666666666667
15 27 0.846153846153846
16 27 0.875
17 27 0.714285714285714
18 27 0.333333333333333
19 27 0.266666666666667
23 27 0.3125
24 27 0.2
25 27 0.75
26 27 0.4375
1 28 0.3125
4 28 0.3125
5 28 0.3125
7 28 0.133333333333333
8 28 0.2
9 28 0.176470588235294
10 28 0.882352941176471
11 28 0.4375
12 28 0.8125
13 28 0.0625
15 28 0.307692307692308
16 28 0.125
17 28 0.357142857142857
18 28 0.533333333333333
19 28 0.733333333333333
20 28 0.642857142857143
21 28 0.117647058823529
22 28 0.266666666666667
23 28 0.6875
25 28 0.0588235294117647
26 28 0.5
27 28 0.1875
1 29 0.866666666666667
2 29 0.4
3 29 0.6
4 29 0.8
5 29 0.733333333333333
6 29 0.153846153846154
7 29 1
10 29 0.133333333333333
12 29 0.133333333333333
13 29 0.733333333333333
14 29 0.266666666666667
15 29 0.769230769230769
16 29 1
17 29 0.642857142857143
18 29 0.266666666666667
19 29 0.2
23 29 0.266666666666667
24 29 0.2
25 29 0.8
26 29 0.4
27 29 0.866666666666667
28 29 0.133333333333333
1 30 0.5625
2 30 0.176470588235294
3 30 0.235294117647059
4 30 0.625
5 30 0.625
7 30 0.4
8 30 0.0666666666666667
9 30 0.0555555555555556
10 30 0.470588235294118
11 30 0.25
12 30 0.6875
13 30 0.3125
14 30 0.0666666666666667
15 30 0.692307692307692
16 30 0.375
17 30 0.785714285714286
18 30 0.933333333333333
19 30 0.8
20 30 0.285714285714286
21 30 0.0588235294117647
22 30 0.133333333333333
23 30 0.8125
25 30 0.294117647058823
26 30 1
27 30 0.4375
28 30 0.529411764705882
29 30 0.4
1 31 0.9375
2 31 0.3125
3 31 0.5
4 31 0.875
5 31 0.9375
6 31 0.153846153846154
7 31 0.8
10 31 0.25
12 31 0.375
13 31 0.625
14 31 0.2
15 31 1
16 31 0.75
17 31 0.928571428571429
18 31 0.533333333333333
19 31 0.466666666666667
23 31 0.5
24 31 0.133333333333333
25 31 0.6875
26 31 0.625
27 31 0.8125
28 31 0.3125
29 31 0.8
30 31 0.625
1 32 0.357142857142857
4 32 0.428571428571429
5 32 0.428571428571429
7 32 0.142857142857143
10 32 0.857142857142857
11 32 0.285714285714286
12 32 0.928571428571429
13 32 0.0714285714285714
15 32 0.384615384615385
16 32 0.142857142857143
17 32 0.428571428571429
18 32 0.642857142857143
19 32 0.857142857142857
20 32 0.428571428571429
22 32 0.0714285714285714
23 32 0.857142857142857
25 32 0.0714285714285714
26 32 0.642857142857143
27 32 0.214285714285714
28 32 0.928571428571429
29 32 0.142857142857143
30 32 0.642857142857143
31 32 0.428571428571429
1 33 0.5625
2 33 0.176470588235294
3 33 0.235294117647059
4 33 0.625
5 33 0.625
7 33 0.4
10 33 0.470588235294118
11 33 0.25
12 33 0.75
13 33 0.3125
14 33 0.0666666666666667
15 33 0.692307692307692
16 33 0.375
17 33 0.785714285714286
18 33 0.933333333333333
19 33 0.866666666666667
20 33 0.285714285714286
22 33 0.0666666666666667
23 33 0.875
25 33 0.294117647058823
26 33 1
27 33 0.4375
28 33 0.529411764705882
29 33 0.4
30 33 0.944444444444444
31 33 0.625
32 33 0.714285714285714
1 34 0.5625
2 34 0.176470588235294
3 34 0.235294117647059
4 34 0.625
5 34 0.625
7 34 0.4
10 34 0.411764705882353
11 34 0.125
12 34 0.6875
13 34 0.3125
14 34 0.0666666666666667
15 34 0.692307692307692
16 34 0.375
17 34 0.785714285714286
18 34 0.866666666666667
19 34 0.8
20 34 0.214285714285714
22 34 0.0666666666666667
23 34 0.8125
25 34 0.294117647058823
26 34 0.875
27 34 0.4375
28 34 0.470588235294118
29 34 0.4
30 34 0.882352941176471
31 34 0.625
32 34 0.642857142857143
33 34 0.882352941176471
1 35 0.8125
2 35 0.3125
3 35 0.4375
4 35 0.75
5 35 0.8125
6 35 0.153846153846154
7 35 0.666666666666667
10 35 0.3125
11 35 0.0625
12 35 0.5
13 35 0.5625
14 35 0.2
15 35 0.846153846153846
16 35 0.625
17 35 0.928571428571429
18 35 0.6
19 35 0.6
20 35 0.0714285714285714
23 35 0.5625
24 35 0.133333333333333
25 35 0.5625
26 35 0.6875
27 35 0.6875
28 35 0.375
29 35 0.666666666666667
30 35 0.6875
31 35 0.875
32 35 0.5
33 35 0.6875
34 35 0.75
1 36 0.933333333333333
2 36 0.266666666666667
3 36 0.466666666666667
4 36 0.933333333333333
5 36 1
6 36 0.0769230769230769
7 36 0.733333333333333
10 36 0.266666666666667
12 36 0.4
13 36 0.6
14 36 0.133333333333333
15 36 1
16 36 0.733333333333333
17 36 0.928571428571429
18 36 0.533333333333333
19 36 0.466666666666667
23 36 0.533333333333333
24 36 0.0666666666666667
25 36 0.666666666666667
26 36 0.666666666666667
27 36 0.8
28 36 0.333333333333333
29 36 0.733333333333333
30 36 0.666666666666667
31 36 1
32 36 0.428571428571429
33 36 0.666666666666667
34 36 0.666666666666667
35 36 0.866666666666667
1 37 0.3125
4 37 0.3125
5 37 0.3125
7 37 0.133333333333333
8 37 0.266666666666667
9 37 0.166666666666667
10 37 1
11 37 0.5
12 37 0.8125
13 37 0.0625
15 37 0.307692307692308
16 37 0.125
17 37 0.357142857142857
18 37 0.533333333333333
19 37 0.733333333333333
20 37 0.714285714285714
21 37 0.176470588235294
22 37 0.333333333333333
23 37 0.6875
25 37 0.0588235294117647
26 37 0.5
27 37 0.1875
28 37 1
29 37 0.133333333333333
30 37 0.5
31 37 0.3125
32 37 0.928571428571429
33 37 0.5
34 37 0.470588235294118
35 37 0.375
36 37 0.333333333333333
8 38 0.357142857142857
9 38 0.214285714285714
10 38 0.714285714285714
11 38 0.785714285714286
12 38 0.571428571428571
18 38 0.214285714285714
19 38 0.428571428571429
20 38 0.928571428571429
21 38 0.214285714285714
22 38 0.571428571428571
23 38 0.428571428571429
26 38 0.214285714285714
28 38 0.714285714285714
30 38 0.285714285714286
32 38 0.5
33 38 0.285714285714286
34 38 0.214285714285714
35 38 0.0714285714285714
37 38 0.785714285714286
1 39 0.0714285714285714
4 39 0.0714285714285714
5 39 0.0714285714285714
7 39 0.0714285714285714
8 39 0.285714285714286
9 39 0.214285714285714
10 39 0.714285714285714
11 39 0.714285714285714
12 39 0.642857142857143
13 39 0.0714285714285714
15 39 0.0769230769230769
16 39 0.0714285714285714
17 39 0.0714285714285714
18 39 0.285714285714286
19 39 0.5
20 39 0.857142857142857
21 39 0.142857142857143
22 39 0.5
23 39 0.5
25 39 0.0714285714285714
26 39 0.285714285714286
27 39 0.0714285714285714
28 39 0.785714285714286
29 39 0.0714285714285714
30 39 0.357142857142857
31 39 0.0714285714285714
32 39 0.571428571428571
33 39 0.357142857142857
34 39 0.285714285714286
35 39 0.142857142857143
36 39 0.0714285714285714
37 39 0.785714285714286
38 39 0.928571428571429
1 40 0.0625
4 40 0.0625
5 40 0.0625
7 40 0.0666666666666667
8 40 0.4
9 40 0.25
10 40 0.6875
11 40 0.75
12 40 0.5625
13 40 0.0625
15 40 0.0769230769230769
16 40 0.0625
17 40 0.0714285714285714
18 40 0.266666666666667
19 40 0.466666666666667
20 40 0.928571428571429
21 40 0.25
22 40 0.6
23 40 0.4375
25 40 0.0625
26 40 0.25
27 40 0.0625
28 40 0.6875
29 40 0.0666666666666667
30 40 0.3125
31 40 0.0625
32 40 0.571428571428571
33 40 0.3125
34 40 0.25
35 40 0.125
36 40 0.0666666666666667
37 40 0.75
38 40 1
39 40 1
8 41 0.8
9 41 0.666666666666667
10 41 0.266666666666667
11 41 0.666666666666667
12 41 0.133333333333333
18 41 0.0666666666666667
19 41 0.0666666666666667
20 41 0.571428571428571
21 41 0.666666666666667
22 41 0.8
23 41 0.0666666666666667
26 41 0.0666666666666667
28 41 0.266666666666667
30 41 0.133333333333333
32 41 0.0714285714285714
33 41 0.0666666666666667
34 41 0.0666666666666667
35 41 0.0666666666666667
37 41 0.333333333333333
38 41 0.571428571428571
39 41 0.5
40 41 0.6
1 42 0.375
2 42 0.0588235294117647
3 42 0.0588235294117647
4 42 0.4375
5 42 0.4375
7 42 0.2
8 42 0.133333333333333
9 42 0.117647058823529
10 42 0.764705882352941
11 42 0.375
12 42 0.8125
13 42 0.125
14 42 0.0666666666666667
15 42 0.461538461538462
16 42 0.1875
17 42 0.5
18 42 0.6
19 42 0.8
20 42 0.571428571428571
21 42 0.117647058823529
22 42 0.2
23 42 0.8125
25 42 0.117647058823529
26 42 0.625
27 42 0.25
28 42 0.882352941176471
29 42 0.2
30 42 0.647058823529412
31 42 0.4375
32 42 1
33 42 0.647058823529412
34 42 0.588235294117647
35 42 0.5
36 42 0.466666666666667
37 42 0.882352941176471
38 42 0.642857142857143
39 42 0.714285714285714
40 42 0.625
41 42 0.2
1 43 0.1875
4 43 0.1875
5 43 0.1875
7 43 0.133333333333333
8 43 0.333333333333333
9 43 0.166666666666667
10 43 0.882352941176471
11 43 0.625
12 43 0.6875
13 43 0.0625
15 43 0.230769230769231
16 43 0.125
17 43 0.214285714285714
18 43 0.4
19 43 0.6
20 43 0.857142857142857
21 43 0.176470588235294
22 43 0.466666666666667
23 43 0.5625
25 43 0.0588235294117647
26 43 0.375
27 43 0.125
28 43 0.882352941176471
29 43 0.133333333333333
30 43 0.388888888888889
31 43 0.1875
32 43 0.785714285714286
33 43 0.388888888888889
34 43 0.352941176470588
35 43 0.25
36 43 0.2
37 43 0.888888888888889
38 43 0.928571428571429
39 43 0.928571428571429
40 43 0.875
41 43 0.466666666666667
42 43 0.764705882352941
1 44 0.875
2 44 0.25
3 44 0.4375
4 44 0.875
5 44 0.9375
6 44 0.0769230769230769
7 44 0.733333333333333
10 44 0.25
